Subject,MSE,RMSE,acc5
1,432.43,20.8,70.27
2,1375.12,37.08,48.65
3,1027.44,32.05,54.05
4,569.04,23.85,72.97
5,957.16,30.94,59.46
6,878.79,29.64,59.46
7,372.43,19.3,62.16
8,1242.61,35.25,45.95
9,785.07,28.02,70.27
10,538.94,23.21,70.27
11,1479.37,38.46,35.14
12,919.61,30.33,54.05
13,1073.19,32.76,62.16
14,825.9,28.74,56.76
15,300.4,17.33,70.27
16,460.77,21.47,62.16
mean,827.39,28.08,59.63
var,122048.13,39.06,101.75
std,349.35,6.25,10.09
