Subject,MSE,RMSE,acc5
1,651.18,25.52,82.46
2,629.02,25.08,68.42
3,527.8,22.97,56.14
4,498.24,22.32,68.42
5,149.1,12.21,84.21
6,301.95,17.38,85.96
7,635.11,25.2,75.44
8,496.71,22.29,73.68
9,358.3,18.93,75.44
10,396.81,19.92,87.72
11,282.05,16.79,85.96
12,370.25,19.24,77.19
13,295.76,17.2,85.96
14,320.27,17.9,85.96
15,404.53,20.11,77.19
16,489.8,22.13,85.96
mean,425.43,20.32,78.51
var,19389.15,12.34,72.51
std,139.24,3.51,8.52
