Subject,MSE,RMSE,acc5
1,1.3,1.14,100.0
2,4.04,2.01,100.0
3,17.56,4.19,91.89
4,2.27,1.51,100.0
5,1.24,1.11,100.0
6,10.75,3.28,97.3
7,2.06,1.44,100.0
8,2.23,1.49,100.0
9,3.52,1.88,100.0
10,2.28,1.51,100.0
11,1.31,1.15,100.0
12,1.21,1.1,100.0
13,1.77,1.33,100.0
14,1.63,1.28,100.0
15,14.12,3.76,94.59
16,1.86,1.36,100.0
mean,4.32,1.85,98.99
var,24.27,0.92,5.37
std,4.93,0.96,2.32
